INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
27590ea9-a03e-4fa1-814f-8c7427e85f50	0.95	10066747	IGFBP-3 also modifies the DU-145 cell cycle, decreases p34 (cdc2) levels, and IGF-1R autophosphorylation.	reach	p(HGNC:IGF1R)	decreases	bp(GO:"GO:0007049")
3594e2f5-8ef5-4fb3-a461-7b2842739992	0.65	10207105	Moreover, IGF-I and/or IL-4 induced long-term cell growth of the IGF-IR transfectants.	reach	p(HGNC:IL4)	increases	act(p(HGNC:IGF1R))
5eaff6cc-ed44-4016-ba75-145ad0339f96	0.65	10397275	IGF-1R may down-regulate the Fas expression rendering transformed ovarian mesothelial cells resistant to apoptosis.	reach	p(HGNC:IGF1R)	decreases	p(HGNC:FAS)
43ef61d5-c977-4c9f-9882-78eaef8d0da2	0.65	10440894	We determined that CNTF injection increased expression of IGF-IR and FGFR1 mRNAs in adult white matter to 200-250% of control levels.	reach	p(HGNC:CNTF)	increases	p(HGNC:IGF1R)
d2871f41-162d-49f0-a41c-7a3fb023e7ea	0.95	10449788	These experiments indicate that TNF-alpha promotes IGF-I receptor resistance in neurons and inhibits the ability of the IGF-I receptor to tyrosine phosphorylate the IRS-2 docking molecule and to subsequently activate the critical downstream enzyme phosphatidylinositol 3 '-kinase.	reach	p(HGNC:TNF)	increases	act(p(HGNC:IGF1R))
a69d5dfc-d8ff-459b-af61-a7516a9d5385	0.97	10449788	These experiments indicate that TNF-alpha promotes IGF-I receptor resistance in neurons and inhibits the ability of the IGF-I receptor to tyrosine phosphorylate the IRS-2 docking molecule and to subsequently activate the critical downstream enzyme phosphatidylinositol 3 '-kinase.	reach	p(HGNC:TNF)	decreases	act(p(HGNC:IGF1R))
c6a12714-2ce2-4242-a7db-29f6ee45282d	0.86	10459021	This decrease in bioavailable IGF-II ultimately resulted in diminished IGF-I receptor signaling in vivo as evidenced by diminished receptor kinase activity and decreased tyrosine phosphorylation of the IGF-I receptor downstream effectors, insulin receptor substrate 1 (IRS-1), extracellular signal regulatory kinase (Erk)-1, and Erk-2.	reach	p(HGNC:IGF2)	increases	p(HGNC:IGF1R, pmod(Ph, Tyr))
3770fc81-d946-4a0a-911f-eda5d975fffe	1.0	10479653	Indeed, catalase abolished the Ang II stimulated increase of IGF-1R protein expression, and accordingly, H (2) O (2) (0.2 mmol/L) or the oxidized products of linoleic acid, hydroperoxyoctadecadienoic acids (10 micromol/L), increased IGF-1R mRNA levels at 3 hours by 74 +/-20% and 107 +/-22% and increased receptor number at 24 hours by 51 +/-6.7% and 55 +/-7.4%, respectively.	reach	p(HGNC:AGT)	increases	p(HGNC:IGF1R)
bb0bcfbd-0b75-4ea4-aa1c-a9931542776e	0.86	10499530	Of the naturally occurring variations in WT1 structure, only the presence of a three-amino acid KTS insert in the zinc finger domain introduced by alternative splicing of exon 9 had a significant effect on WT1 repression of IGF-I receptor promoter activity.	reach	p(HGNC:WT1)	decreases	act(p(HGNC:IGF1R))
322d3652-18bb-4415-ab3d-28a747ac690c	0.86	10499530	We have previously shown that the product of the WT1 Wilms ' tumor suppressor gene represses IGF-I receptor gene expression both in vitro and in vivo, and that decreased WT1 levels are correlated with up-regulation of IGF-I receptor gene expression in Wilms ' tumor, benign prostatic hyperplasia, and breast cancer.	reach	p(HGNC:WT1)	increases	p(HGNC:IGF1R)
43396a15-12c9-460d-addb-5ada84dccaa2	0.65	10521479	In contrast, the IGF-I receptor chimera mediated more effective Shc phosphorylation, association of Shc with Grb2, and activation of mitogen-activated protein kinase compared with the insulin receptor chimera.	sparser	p(FPLX:SHC)	increases	p(HGNC:IGF1R, pmod(Ph))
dc18f789-8e40-4393-b71d-dff99f43a96a	0.65	10605001	Heightened tyrosine phosphorylation of IRS-2 during granulocytic differentiation was not caused by an increase in expression of the tyrosine kinase IGF-I receptor, as measured by the amount of both the alpha- and beta-subunits.	reach	p(HGNC:IGF1R)	increases	p(HGNC:IRS2, pmod(Ph, Tyr))
2ee72b17-b17d-465f-ac80-1a7b042fcaa5	0.86	10642432	Taken together, these data illustrate that IGF-1R stimulates uPA production.	reach	p(HGNC:IGF1R)	increases	act(p(HGNC:PLAU))
d01a91e4-2b79-435f-985e-06dab75b288e	0.98	10747872	We conclude that IGF-I and IGF-IR is able to mediate activation of STAT3 in vitro and in vivo and that JAKs are essential for the process of activation.	reach	p(HGNC:IGF1R)	increases	act(p(HGNC:STAT3))
7fda4946-6213-47b6-a80b-f66d377b4e7d	0.65	10760788	CD28 stimulation increases IGF-IR expression on Jurkat cells, and exogenously added IGF-I can protect these cells from Fas induced apoptosis.	reach	p(HGNC:CD28)	increases	p(HGNC:IGF1R)
