INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object			Checked	Correct	Change	Annotation
14aa7414-0652-438d-85be-97bface92bea	0.65	10191258	"pV induced tyrosine phosphorylation of the insulin receptor and insulin receptor substrate-1 to a greater extent than insulin, whereas vanadate affected these components little if at all."	sparser	p(UP:Q90243)	increases	"p(HGNC:IRS1, pmod(Ph))"			x	x		
46266a86-959c-4222-8707-21c60fe9f1d3	0.65	10191258	"pV induced tyrosine phosphorylation of the insulin receptor and insulin receptor substrate-1 to a greater extent than insulin, whereas vanadate affected these components little if at all."	sparser	p(UP:P56530)	increases	"p(HGNC:IRS1, pmod(Ph))"			x	x		
c7bb7f4f-9ee5-4519-9cc8-ad0368f76f55	0.86	10218944	These results indicate that IRS-1 enhances GH induced proliferative signaling.	reach	p(HGNC:IRS1)	increases	act(p(HGNC:GH1))			x	x		
45da9f5f-330b-41db-bf66-1a97272bf7b7	0.92	10320054	"Results generated in the in vivo studies indicate that, like insulin, AII stimulates tyrosine phosphorylation of the insulin receptor substrates IRS-1 and IRS-2."	sparser	p(HGNC:NLRP3)	increases	"p(HGNC:IRS1, pmod(Ph))"			x			
0435c9dd-8640-4780-84a9-3704da429718	0.65	10331411	"Overexpression of GLUT4 in db/+ TG6 mice markedly improved glucose stimulated insulin secretion, by 250%, and increased IRbeta, IRS-1, and p85alpha phosphorylation twofold, despite no change in concentration of these proteins."	reach	p(HGNC:SLC2A4)	increases	"p(HGNC:IRS1, pmod(Ph))"			x	x		
19a1c87f-65f3-4696-b90f-df19013bf9eb	0.95	10364259	High IRS-1 levels also reduced beta-cell proliferation.	reach	p(HGNC:IRS1)	decreases	"bp(GO:""GO:0008283"")"			x	x		
70907252-35c6-4be6-95ab-a3601336e9cc	0.92	10364259	"We postulate that during regulated insulin secretion, released insulin binds the beta-cell insulin receptor and activates IRS-1, thus further increasing cytosolic Ca2+ by reducing Ca2+ uptake."	reach	"complex(p(HGNC:INS), p(HGNC:INSR))"	increases	act(p(HGNC:IRS1))			x			
70907252-35c6-4be6-95ab-a3601336e9cc	0.92	10364259	"We postulate that during regulated insulin secretion, released insulin binds the beta-cell insulin receptor and activates IRS-1, thus further increasing cytosolic Ca2+ by reducing Ca2+ uptake."	reach	"complex(p(HGNC:INS), p(HGNC:INSR))"	increases	act(p(HGNC:IRS1))			x			
3902b0d2-8765-4307-8125-fcb913a161f3	0.95	10389839	"We report that chronic insulin treatment induces the degradation of IRS-1, but not IRS-2, protein in cultured cells."	reach	p(HGNC:IRS2)	decreases	act(p(HGNC:IRS1))			x			
6027672b-2d3a-479e-b3a2-4f9b8e7b0c94	0.65	10400063	"Insulin inhibited the phosphorylation of the insulin receptor and IRS-1 and decreased the activity of the ERK-1, and inhibited the activation of the ERK-2."	reach	p(HGNC:IRS1)	increases	act(p(HGNC:MAPK1))			x			
98641b83-d2b6-4962-b3c6-bb50c9c6d887	0.65	10400063	"Insulin inhibited the phosphorylation of the insulin receptor and IRS-1 and decreased the activity of the ERK-1, and inhibited the activation of the ERK-2."	reach	p(HGNC:IRS1)	increases	act(p(HGNC:MAPK3))			x			
eafa184c-78ce-4391-8ccd-f72280d7c336	0.86	10400698	They also indicate that tyrosine phosphorylation of IRS-1 by Src family kinases could lead to the recruitment and the activation of the p85 and p110-PI 3-kinase in response to gastrin.	reach	p(HGNC:IRS1)	increases	act(p(HGNC:GAST))			x	x		
eafa184c-78ce-4391-8ccd-f72280d7c336	0.86	10400698	They also indicate that tyrosine phosphorylation of IRS-1 by Src family kinases could lead to the recruitment and the activation of the p85 and p110-PI 3-kinase in response to gastrin.	reach	p(HGNC:IRS1)	increases	act(p(HGNC:GAST))			x	x		
7874259c-138e-45b8-9a37-2cbe0c9e6f4a	0.65	10400698	They also indicate that tyrosine phosphorylation of IRS-1 by Src family kinases could lead to the recruitment and the activation of the p85 and p110-PI 3-kinase in response to gastrin.	reach	p(HGNC:SRC)	directlyIncreases	"p(HGNC:IRS1, pmod(Ph, Tyr))"			x			
982cf150-55bd-4895-8d1f-4ed32563c19e	0.99	10416561	"In contrast to insulin, exercise decreased tyrosine phosphorylation of the insulin receptor to 72 +/- 10% of basal values (P &lt; 0.05 vs basal and P &lt; 0.05 vs insulin) and had no effect on IRS-1 tyrosine phosphorylation, or association of p85 with IRS-1."	sparser	p(HGNC:IRS1)	directlyIncreases	"p(FPLX:""PI3K_p85"", pmod(Ph))"			x			
c8a46410-ae11-4beb-a568-fc630ed3eb5f	0.65	10517679	The presence of tyrosine phosphorylated IRS-1 appears to increase insulin receptor tyrosine phosphorylation and potentially tyrosine kinase activity via inhibition of protein-tyrosine phosphatase (s).	reach	"p(HGNC:IRS1, pmod(Ph, Tyr))"	increases	"p(HGNC:INSR, pmod(Ph, Tyr))"			x			
ec195249-daac-4da4-a176-9e30cb3047ea	0.95	10560905	"On the other hand, IFNγ does not activate IRS-1 or IRS-2 , strongly suggesting that the primary multisite docking protein in the IFNγ system is the CBL proto-oncogene."	sparser	p(HGNC:IFNG)	increases	act(p(HGNC:IRS1))			x			
acb48b7e-d7cd-423f-bdef-2b05b7cea1b9	0.92	10560905	"Recent studies demonstrated that activation of Jak-1 is necessary for the IFNα-phosphorylation of IRS-1 and activation of the PI3′-kinase , further establishing that the IRS/PI3′ kinase pathway is Jak[MISSING/INVALID API KEY: limited to 200 char for Elsevier]"	sparser	p(HGNC:IFNA2)	increases	"p(HGNC:IRS1, pmod(Ph))"			x			
0b36bf8b-ec51-425b-a406-8653b3e00b7f	0.65	10660596	Inclusion of GRB2 in a reaction mixture of IRS-1 and active PTP1B also increased the overall rate of IRS-1 tyrosine dephosphorylation by 2.7-3.9-fold (p < 0.01).	reach	p(HGNC:GRB2)	increases	"p(HGNC:IRS1, pmod(Ph, Tyr))"			x		x	
9110c5b7-5522-4319-b7b1-b5d15db08f3f	0.92	10669726	"Finally, IGF mediated degradation of IRS-1 was blocked by inhibition of phosphatidylinositol 3 '-kinase activity but was not affected by inhibition of ERK, suggesting that this may represent a direct negative-feedback mechanism resulting from downstream IRS-1 signaling."	reach	p(HGNC:8979)	decreases	act(p(HGNC:IRS1))			x		x	
b49c914d-4089-4b32-aea3-6a52a18c73b7	0.92	10674396	"Moreover, insulin like growth factor (IGF)-I and insulin, which are well known to cause IRS-1 and IRS-2 phosphorylation, increased the stimulatory effect of IL-4 on 3beta-HSD activity."	reach	p(HGNC:IRS1)	increases	act(p(HGNC:IL4))			x	x		
1f2576a9-d646-4ad1-873f-1ee46a71e331	0.65	10674396	"Moreover, insulin like growth factor (IGF)-I and insulin, which are well known to cause IRS-1 and IRS-2 phosphorylation, increased the stimulatory effect of IL-4 on 3beta-HSD activity."	reach	p(IP:IPR022350)	increases	"p(HGNC:IRS1, pmod(Ph))"			x	x		
a7ad315d-1188-490e-abb9-f86b6f85dd97	0.86	10679027	Here we show that IRS-1 associates with the loop domain of Bcl-2 and synergistically up-regulates antiapoptotic function of Bcl-2.	reach	p(HGNC:IRS1)	increases	act(p(HGNC:BCL2))			x	x		
2a81e1e8-cd36-43c6-a6fe-197176332cd0	0.65	10679027	"Overexpression of IRS-1 suppresses phosphorylation of Bcl-2 induced by stimulation with insulin, and the hypophosphorylation may lead to its enhanced antiapoptotic activity."	reach	p(HGNC:IRS1)	decreases	"p(HGNC:BCL2, pmod(Ph))"			x	x		
43d0fae2-0502-455f-a674-25b6314c8bd8	0.65	10692429	"However, the PTPase(s) that inactivate IR and IRS-1 under physiological conditions remain unidentified."	sparser	p(HGNC:9664 (PTPRA)	decreases	act(p(HGNC:IRS1))			x		x	
41a12c6e-b172-48d8-9898-da937e06f417	0.88	10733921	"Our data demonstrate that IFNalpha induces the interaction of p85 with IRS-1 or IRS-2, but not Stat-3, in various hematopoietic cell lines in which IRS-1 and/or IRS-2 and Stat-3 are activated by IFNalpha."	sparser	p(FPLX:IFNA)	increases	act(p(HGNC:IRS1))			x	x		
41a12c6e-b172-48d8-9898-da937e06f417	0.88	10733921	"Our data demonstrate that IFNalpha induces the interaction of p85 with IRS-1 or IRS-2, but not Stat-3, in various hematopoietic cell lines in which IRS-1 and/or IRS-2 and Stat-3 are activated by IFNalpha."	reach	p(FPLX:IFNA)	increases	act(p(HGNC:IRS1))			x	x		
920006e5-e4e6-4b32-b872-b2aae5aace5c	0.65	10749573	"In addition, osteoclast differentiation factor (RANKL and ODF) was not induced by these factors in IRS-1 (-/-) osteoblasts."	reach	p(HGNC:IRS1)	increases	act(p(HGNC:TNFSF11))			x			
19a1c87f-65f3-4696-b90f-df19013bf9eb	0.95	10749573	"We conclude that IRS-1 deficiency in osteoblasts impairs osteoblast proliferation, differentiation, and support of osteoclastogenesis, resulting in low-turnover osteopenia."	reach	p(HGNC:IRS1)	decreases	"bp(GO:""GO:0008283"")"						
e4c1ef01-aae9-4223-be89-dc7182925cb2	0.86	10798222	Lycopene treatment markedly reduced the IGF-I stimulation of tyrosine phosphorylation of insulin receptor substrate 1 and binding capacity of the AP-1 transcription complex.	reach	p(HGNC:IGF1)	decreases	"p(HGNC:IRS1, pmod(Ph, Tyr))"						
fc491df7-ee47-4aa5-83cf-9405097bb1f4	0.65	10811632	The addition of epidermal growth factor (EGF) maintained IRS-1 levels even in the presence of IGF-I and inhibits IGF-I-dependent ubiquitination of IRS-1.	reach	p(HGNC:EGF)	decreases	"p(HGNC:IRS1, pmod(Ub))"						
822c9157-2619-475b-b92a-ca8ba400e074	0.65	10811632	The addition of epidermal growth factor (EGF) maintained IRS-1 levels even in the presence of IGF-I and inhibits IGF-I-dependent ubiquitination of IRS-1.	reach	p(HGNC:EGF)	increases	"p(HGNC:IRS1, pmod(Ub))"						
f9f791f6-3495-4b61-a616-c038b1fb6e17	0.65	10811632	"Ubiquitin content of IRS-1 is increased in the presence of IGF-I, and inhibitors of the proteasome prevented the reduction of IRS-1 levels seen following IGF-I exposure."	reach	p(FPLX:Proteasome)	decreases	p(HGNC:IRS1)						
33370c7f-8666-42b0-b6fa-19694a18a979	0.65	10819975	"Overexpression of calmodulin in Chinese hamster ovary cells reduced the tyrosine phosphorylation of IRS-1 induced by insulin, with a concomitant decrease in insulin stimulated association of IRS-1 with the 85-kDa regulatory subunit of phosphatidylinositol 3-kinase."	reach	p(FPLX:CALM)	decreases	"p(HGNC:IRS1, pmod(Ph, Tyr))"						
966fad1a-4821-4541-91a0-5cd2c3f22991	0.65	10819975	"Overexpression of calmodulin in Chinese hamster ovary cells reduced the tyrosine phosphorylation of IRS-1 induced by insulin, with a concomitant decrease in insulin stimulated association of IRS-1 with the 85-kDa regulatory subunit of phosphatidylinositol 3-kinase."	reach	p(FPLX:CALM)	increases	"p(HGNC:IRS1, pmod(Ph))"						
665fdff7-a971-407c-89f1-68f40f28079e	0.95	10827205	Insulin stimulated IRS-1 association with SHP2 was reduced to 79 +/- 5% (P < 0.05) in liver of the fructose fed rats.	reach	p(HGNC:INS)	decreases	act(p(HGNC:IRS1))						
17880a1b-f5ea-4873-8cd0-7abd9278f8b5	0.95	10846175	"In this report, we have focused on p70 (S6K), which is activated by the IRS-1 pathway."	reach	p(HGNC:IRS1)	increases	"act(p(HGNC:RPS6KB1, var(""p.Ser6Lys"")))"						
