INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
9331dada-49d6-479c-9a83-b5e1a94a5511	0.99	10027835	We compared the following drugs in the kindling model of epilepsy : 1) L-deprenyl (selegiline), i.e., an irreversible inhibitor of MAO-B, which, however, also inhibits MAO-A at higher doses, 2) the novel reversible MAO-B inhibitor LU 53439 (3,4-dimethyl-7-(2-isopropyl-1,3, 4-thiadiazol-5-yl)-methoxy-coumarin), which is much more selective for MAO-B than L-deprenyl, 3) the novel reversible and highly selective MAO-A inhibitor LU 43839 (esuprone; 7-hydroxy-3, 4-dimethylcoumarin ethanesulfonate), and 4) the irreversible nonselective MAO inhibitor tranylcypromine.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:MAOA))
5222fd99-3835-46c9-9abf-29112a51e8d9	0.65	10617673	The monoamine oxidase B (MAO-B) inhibitor, (-)-deprenyl (DEP), its metabolite (-)-desmethyldeprenyl, and a tricyclic DEP analog, CGP3466, can reduce apoptosis independently of MAO-B inhibition and have been found to bind to GAPDH.	reach	p(HGNC:MAOB)	decreases	bp(GO:"GO:0006915")
e1fba84f-5bd5-4e84-a8de-6a76b73164df	0.65	10777699	These results show that MAO-B induces MAPK and ERK activation and cell mitogenesis through H (2) O (2) production.	reach	p(HGNC:MAOB)	increases	act(p(FPLX:ERK))
160efbea-5dcc-4b90-95df-a17aefd626a0	0.86	11040348	The question may arise as to whether monoamine oxidase A inhibition or monoamine oxidase B inhibition (or both) by non-selective monoamine oxidase inhibitors contributes to reducing conditioned freezi[MISSING/INVALID API KEY: limited to 200 char for Elsevier]	sparser	p(HGNC:NALCN)	decreases	act(p(HGNC:MAOB))
eddf810f-698b-4ecd-80c2-8bad7841d1d2	0.65	11129505	The infarct volumes in the cortex or in the striatum did not differ between the experimental groups 72 hr after transient occlusion of the middle cerebral artery, which suggests that during ischaemia/reperfusion, suppressed oxidative stress by partial MAO-B inhibition or MAO-B independent mechanisms such as induction of trophic factors, does not protect against ischaemia/reperfusion damage.	sparser	p(HGNC:MAOB)	decreases	act(p(HGNC:LGI1))
9331dada-49d6-479c-9a83-b5e1a94a5511	0.99	11860739	When MAO-A activity was inhibited to 25% of control by clorgyline (2 mg/kg, iv) and MAO-B to 30% by deprenyl, the plasma DHPG and DOMA concentrations were reduced to 15% and 70% of controls, and to 26% and 76% of controls, respectively.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:MAOA))
ebfd5e87-2596-4d0e-b7b1-c4882a5b362b	0.92	12130655	The A (2A) receptor independence of MAO-B inhibition by CSC was further supported by the similarity of brain MAO activities derived from A (2A) receptor knockout and wild-type mice and was confirmed by demonstrating potent inhibition of A (2A) receptor knockout derived MAO-B by CSC.	reach	bp(MESH:D014411)	decreases	act(p(HGNC:MAOB))
7898cd25-c040-4299-839d-719e68bad4f3	0.65	12130655	The A(2A) receptor independence of MAO-B inhibition by CSC was further supported by the similarity of brain MAO activities derived from A(2A) receptor knockout and wild-type mice and was confirmed by demonstrating potent inhibition of A(2A) receptor knockout-derived MAO-B by CSC.	sparser	bp(MESH:D014411)	decreases	act(p(HGNC:MAOB))
9331dada-49d6-479c-9a83-b5e1a94a5511	0.99	12237745	These data demonstrate that inhibition of MAO-A, but not MAO-B, reduces the volitional consumption of ethanol probably by preventing the formation of both biogenic aldehydes and acetaldehyde so that rewarding alkaloidal products can not be formed.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:MAOA))
4ad19c64-bbc1-49ac-b2af-94d2f758c834	0.65	12404611	Inhibitors of monoamine oxidase A (MAO-A) but not MAO-B stimulate the activity of pineal serotonin N-acetyltransferase (AANAT) in the adult rat pineal leading to increased formation of N-acetyl serotonin (NAS) and melatonin (MEL).	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:AANAT))
