INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object	Checked	Correct	Change	annotation
6b31d9ee-eb27-45ed-a78c-724b025ead28	0.65	11602640	In contrast to LPS, TREM-2 did not induce p38 and SAPK tyrosine phosphorylation (XREF_FIG C).	reach	p(HGNC:TREM2)	causesNoChange	p(HGNC:MAPK9, pmod(Ph, Tyr))	x		x	
9448d08e-31e5-47ea-92b8-62923e03c496	0.65	11602640	In contrast to LPS, TREM-2 did not induce p38 and SAPK tyrosine phosphorylation (XREF_FIG C).	reach	p(HGNC:TREM2)	causesNoChange	p(HGNC:MAPK14, pmod(Ph, Tyr))	x		x	
31eb0f77-1277-4f61-bf64-7809d7e286ae	0.86	11602640	TREM-2 Does Not Activate IkappaBalpha and NF-kappaB or p38 and SAPK Signaling Pathways.	reach	p(HGNC:TREM2)	causesNoChange	act(p(HGNC:MAPK9))	x		x	
f08e4f7e-43c5-4ad5-9166-34c152412be7	0.95	11602640	TREM-2 Does Not Activate IkappaBalpha and NF-kappaB or p38 and SAPK Signaling Pathways.	reach	p(HGNC:TREM2)	causesNoChange	act(p(HGNC:NFKBIA))	x		x	
f21fe538-caac-44e3-b56e-080357ee0172	0.95	11602640	TREM-2 Does Not Activate IkappaBalpha and NF-kappaB or p38 and SAPK Signaling Pathways.	reach	p(HGNC:TREM2)	causesNoChange	act(p(HGNC:NFKB1))	x		x	
d5b4fa3d-1e56-406d-bbf1-fb7109a3ce64	0.86	11602640	TREM-2 Does Not Activate IkappaBalpha and NF-kappaB or p38 and SAPK Signaling Pathways.	reach	p(HGNC:TREM2)	causesNoChange	act(p(HGNC:MAPK14))	x		x	
f08e4f7e-43c5-4ad5-9166-34c152412be7	0.95	11602640	TREM-2 Does Not Activate IκBα/NF-κB or p38/SAPK Signaling Pathways.	sparser	p(HGNC:TREM2)	causesNoChange	act(p(HGNC:NFKBIA))	x		x	
f21fe538-caac-44e3-b56e-080357ee0172	0.95	11602640	TREM-2 Does Not Activate IκBα/NF-κB or p38/SAPK Signaling Pathways.	sparser	p(HGNC:TREM2)	causesNoChange	act(p(HGNC:NFKB1))	x		x	
f21fe538-caac-44e3-b56e-080357ee0173			TREM-2 Does Not Activate IκBα/NF-κB or p38/SAPK Signaling Pathways.		p(HGNC:TREM2)	causesNoChange	act(p(HGNC:MAPK14))			x	
f21fe538-caac-44e3-b56e-080357ee0174			TREM-2 Does Not Activate IκBα/NF-κB or p38/SAPK Signaling Pathways.		p(HGNC:TREM2)	causesNoChange	act(p(HGNC:MAPK9))			x	
e4bcadc5-469a-4bf2-a92c-98cdd923a701	0.65	11602640	TREM-2 and DAP12 promotes upregulation of CC chemokine receptor 7, partial DC maturation, and DC survival through activation of protein tyrosine kinases and extracellular signal regulated kinase.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:CCR7))	x		x	
e4bcadc5-469a-4bf2-a92c-98cdd923a702			TREM-2 and DAP12 promotes upregulation of CC chemokine receptor 7, partial DC maturation, and DC survival through activation of protein tyrosine kinases and extracellular signal regulated kinase.		p(HGNC:TYROBP)	increases	act(p(HGNC:CCR7))			x	
e4bcadc5-469a-4bf2-a92c-98cdd923a703			TREM-2 and DAP12 promotes upregulation of CC chemokine receptor 7, partial DC maturation, and DC survival through activation of protein tyrosine kinases and extracellular signal regulated kinase.		p(HGNC:TREM2)	increases	bp(GO:0048469)			x	"SET MESHAnatomy=""Dendritic Cells"""
e4bcadc5-469a-4bf2-a92c-98cdd923a704			TREM-2 and DAP12 promotes upregulation of CC chemokine receptor 7, partial DC maturation, and DC survival through activation of protein tyrosine kinases and extracellular signal regulated kinase.		p(HGNC:TYROBP)	increases	bp(GO:0048469)			x	"SET MESHAnatomy=""Dendritic Cells"""
f085aba7-61ff-4adc-836a-9c9e70128ac3	0.95	11602640	TREM-2 and DAP12-mediated signaling promotes survival of DCs and upregulation of CCR7, MHC class II, CD86, and CD40.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:CCR7))	x	x		
f085aba7-61ff-4adc-836a-9c9e70128ac5			TREM-2 and DAP12-mediated signaling promotes survival of DCs and upregulation of CCR7, MHC class II, CD86, and CD40.		p(HGNC:TREM2)	increases	a(HGNC:CD40)			x	
f085aba7-61ff-4adc-836a-9c9e70128ac6			TREM-2 and DAP12-mediated signaling promotes survival of DCs and upregulation of CCR7, MHC class II, CD86, and CD40.		p(HGNC:TREM2)	increases	a(HGNC:CD86)			x	
f085aba7-61ff-4adc-836a-9c9e70128ac7			TREM-2 and DAP12-mediated signaling promotes survival of DCs and upregulation of CCR7, MHC class II, CD86, and CD40.		p(HGNC:TYROBP)	increases	a(HGNC:CD40)			x	
f085aba7-61ff-4adc-836a-9c9e70128ac8			TREM-2 and DAP12-mediated signaling promotes survival of DCs and upregulation of CCR7, MHC class II, CD86, and CD40.		p(HGNC:TYROBP)	increases	a(HGNC:CD86)			x	
f085aba7-61ff-4adc-836a-9c9e70128ac3	0.95	11602640	TREM-2 induced upregulation of CCR7, CD86, class II, and CD40, while cell surface expression of ICAM-1 and CD83 was not increased (XREF_FIG, red bars).	reach	p(HGNC:TREM2)	increases	act(p(HGNC:CCR7))	x	x		
7deb1379-d855-4eaa-85fb-e444a94eff2b	0.65	11602640	TREM-2 induced upregulation of CCR7, CD86, class II, and CD40, while cell surface expression of ICAM-1 and CD83 was not increased (XREF_FIG, red bars).	reach	p(HGNC:TREM2)	increases	act(p(HGNC:CD40))	x	x		
d1bd3ed0-3307-46ee-848a-ebceab469933	0.65	11602640	TREM-2 induced upregulation of CCR7, CD86, class II, and CD40, while cell surface expression of ICAM-1 and CD83 was not increased (XREF_FIG, red bars).	reach	p(HGNC:TREM2)	increases	act(p(HGNC:CD86))	x	x		
f085aba7-61ff-4adc-836a-9c9e70128ac3	0.95	11602640	TREM-2 induces upregulation of CCR7, which plays a pivotal role in directing DCs from the periphery to the T cell rich areas of draining lymph nodes 1011121314.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:CCR7))	x	x		
31eb0f77-1277-4f61-bf64-7809d7e286ae	0.86	11602640	To see whether TREM-2 activates p38 and SAPK, we crosslinked TREM-2 on DCs with F (ab ') 2 29E3 and analyzed tyrosine phosphorylation of p38 and SAPK by Western blot analysis.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:MAPK9))	x			
d5b4fa3d-1e56-406d-bbf1-fb7109a3ce64	0.86	11602640	To see whether TREM-2 activates p38 and SAPK, we crosslinked TREM-2 on DCs with F (ab ') 2 29E3 and analyzed tyrosine phosphorylation of p38 and SAPK by Western blot analysis.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:MAPK14))	x			
f08e4f7e-43c5-4ad5-9166-34c152412be7	0.95	11602640	To study whether TREM-2 activates the IkappaBalpha and NF-kappaB pathway, we stimulated DCs through TREM-2 and analyzed the phosphorylation of IkappaBalpha by Western blot analysis.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:NFKBIA))	x			
f21fe538-caac-44e3-b56e-080357ee0172	0.95	11602640	To study whether TREM-2 activates the IkappaBalpha and NF-kappaB pathway, we stimulated DCs through TREM-2 and analyzed the phosphorylation of IkappaBalpha by Western blot analysis.	reach	p(HGNC:TREM2)	increases	act(p(HGNC:NFKB1))	x			
