INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
d58da677-6b7d-40bc-a7ba-083b03da81a7	0.99	10360949	Insulin and IGF-1 receptors activate Akt to a similar extent, whereas GSK-3 inactivation in response to IGF-1 is considerably lower in both -/- and WT cells, compared to the effect of insulin in WT cells.	reach	p(HGNC:INS)	directlyIncreases	act(p(FPLX:AKT))
a260ff4f-5ab3-4b69-9708-a635f62f528d	0.95	10366600	Some clusters of VCAM-1 were present on the surface of TNF-α–activated HUVECs treated with anti–VCAM-1 antibody (Fig. xref g), but addition of secondary antibodies caused a marked increase in VCAM-1 clustering (Fig. xref h).	sparser	p(HGNC:TNF)	directlyIncreases	act(p(HGNC:SLC7A6))
eb01c4cc-e251-4217-a9f6-6ce86cf2993e	0.99	10759890	IKK-i significantly induced NF-kappaB activation upon over-expression, as did IKK-alpha and IKK-beta.	reach	p(HGNC:IKBKE)	directlyIncreases	act(p(FPLX:NFkappaB))
eb01c4cc-e251-4217-a9f6-6ce86cf2993e	0.99	10759890	Unlike IKK-alpha and IKK-beta, IKK-i phosphorylated Ser36 but not Ser32 in vitro, suggesting that IKK-i activates NF-kappaB by distinct mechanisms from the conventional IKKs.	sparser	p(HGNC:IKBKE)	directlyIncreases	act(p(FPLX:NFkappaB))
920a4f0a-c035-4346-96ce-2d79dab40db5	1.0	11007948	Instead, TLR4 is probably activated by the complex of CD14 and LPS binding protein (LBP) with LPS, and induces transmembrane signaling .	sparser	p(HGNC:CD14)	directlyIncreases	act(p(HGNC:TLR4))
46ccb254-c30d-42d1-891d-17303d643d21	1.0	11059778	Overall, the data indicate that O6MeG induces apoptosis via secondary lesions that trigger Bcl-2 decline, cytochrome c release, and caspase-9 and caspase-3 activation independently of Fas and Fas ligand and p53, for which the cells are mutated.	reach	p(HGNC:CASP3)	directlyIncreases	act(p(HGNC:TP53))
018c50fb-d378-418b-b20c-0301870c00ab	0.95	11152283	EGF is clearly able to activate gene transcription, suggesting that the differences in the biological activities of EGF and NGF can not be explained by the inability of EGF to stimulate gene transcription.	reach	p(HGNC:NGF)	directlyIncreases	bp(GO:"GO:0006351")
cf39b25c-ca63-4355-924a-043483d3d5af	0.95	11278362	Caspase mediated proteolytic activation parallels cell death and appears to be a pro apoptotic factor in stress induced cell death.	reach	p(FPLX:Caspase)	directlyIncreases	bp(GO:"GO:0008219")
0991ea45-f706-4dc8-bb41-b161314148c3	0.95	11356694	Addition of the specific PI 3-K inhibitor LY294002 to the granulosa cell cultures decreased Akt phosphorylation and induced apoptosis in a dose dependent manner.	reach	p(FPLX:AKT)	directlyIncreases	bp(GO:"GO:0006915")
12fc128d-91e3-4acd-985a-ebb192b3a6e2	0.99	11521063	MD-2 enables TLR4 to respond to a wide variety of endotoxic LPS partial structures, Gram negative bacteria, and Gram positive lipoteichoic acid, but not to Gram positive bacteria, peptidoglycan, and lipopeptide.	reach	p(HGNC:LY96)	directlyIncreases	act(p(HGNC:TLR4))
0755e65a-7681-44e8-a0af-ce15e55fe046	0.99	11571288	Our results suggest that NGF utilizes both the Ras and ERK and phosphatidylinositol 3-kinase pathways to up-regulate NR1 promoter activity and that Sp1 is a novel substrate of NGF activated ERKs.	reach	p(HGNC:NGF)	directlyIncreases	act(p(FPLX:ERK))
c97a3b8b-eddb-4255-8abf-e28ef34d4cf0	0.99	11911828	All these responses required functional PI3Kγ, were  toxin sensitive (data not shown), and correlated with a PI3Kγ-dependent activation of PKB .	sparser	p(HGNC:PIK3CG)	directlyIncreases	act(p(FPLX:AKT))
adb6555d-fc3d-46de-a8da-8c557580958a	0.95	11960013	In addition, IRAK-4 is able to phosphorylate IRAK-1, and overexpression of dominant negative IRAK-4 is blocking the IL-1-induced activation and modification of IRAK-1, suggesting a role of IRAK-4 as a central element in the early signal transduction of Toll/IL -1 receptors, upstream of IRAK-1.	reach	p(HGNC:IRAK4)	directlyDecreases	act(p(HGNC:IRAK1))
73461c97-a89b-40ad-be13-3d7f30e4ea6f	0.98	12138165	The substitution of Thr-66 with alanine or glutamate prevented spontaneous activation of NF-kappaB by overexpressed IRAK but enhanced IL-1-induced activation of the factor.	sparser	p(HGNC:IRAK1)	directlyIncreases	act(p(FPLX:NFkappaB))
92e92d63-67d0-44fc-8cf2-8c751ef82a11	1.0	12401334	Using immunocytochemistry and immunoblotting, we have also demonstrated that Abeta treatment can significantly increase the phosphorylation of tau protein in septal cultures.	reach	p(HGNC:APP)	directlyIncreases	p(HGNC:MAPT, pmod(Ph))
